"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-06","0.02","0.0","60.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-07","1.52","0.0","65.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-08","0.53","0.0","61.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-09","0.41","0.0","58.7"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-10","0.70","0.0","46.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-11","0.34","1.6","32.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-12","0.22","2.4","22.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-01","0.33","3.4","22.7"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-02","1.01","15.9","28.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-03","0.40","0.0","39.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-04","0.43","0.7","43.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-05","1.78","0.0","49.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-06","1.19","0.0","63.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-07","1.35","0.0","64.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-08","0.50","0.0","64.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-09","0.78","0.0","58.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-10","0.98","0.0","49.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-11","0.44","4.3","31.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2015-12","0.25","3.4","21.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-01","0.58","7.0","13.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-02","0.40","4.1","28.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-03","0.52","8.2","35.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-04","1.75","15.2","42.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-05","1.12","0.8","50.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-06","0.51","0.0","63.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-07","0.31","0.0","66.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-08","2.16","0.0","60.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-09","0.28","0.0","56.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-10","0.02","0.0","47.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-11","0.44","1.0","33.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2016-12","1.08","10.2","18.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-01","1.37","21.9","16.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-02","0.29","2.4","29.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-03","0.73","0.7","41.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-04","0.64","5.0","43.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-05","1.24","1.1","50.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-06","0.19","0.0","62.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-07","3.52","0.0","66.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-08","0.74","0.0","61.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-09","1.75","0.0","56.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-10","0.06","0.0","44.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-11","0.05","0.4","38.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2017-12","0.14","1.3","25.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2018-01","0.08","1.5","23.7"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2018-02","0.23","3.8","28.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2018-03","0.15","1.8","34.7"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2018-04","0.20","0.3","44.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2018-05","0.14","0.0","54.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2018-06","0.62","0.0","62.6"
